alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_BLL,coverage_FSRQ,setsize_BLL,setsize_FSRQ
0.01,0.99005,0.769444,1.457711,0.532338,0.99005,0.467662,0.992958,0.983051,1.485915,1.389831
0.0296,0.965174,0.830227,1.223881,0.741294,0.965174,0.258706,0.978873,0.932203,1.274648,1.101695
0.0492,0.945274,0.842812,1.159204,0.78607,0.945274,0.21393,0.950704,0.932203,1.197183,1.067797
0.0688,0.920398,0.854681,1.089552,0.830846,0.920398,0.169154,0.922535,0.915254,1.105634,1.050847
0.0884,0.895522,0.859999,1.034826,0.860697,0.895522,0.139303,0.894366,0.898305,1.035211,1.033898
0.1,0.870647,0.850992,1.0,0.870647,0.870647,0.129353,0.873239,0.864407,1.0,1.0
0.108,0.870647,0.860644,0.9801,0.870647,0.870647,0.109453,0.873239,0.864407,0.985915,0.966102
0.1276,0.860697,0.866486,0.955224,0.860697,0.860697,0.094527,0.859155,0.864407,0.950704,0.966102
0.1472,0.830846,0.869636,0.900498,0.830846,0.830846,0.069652,0.816901,0.864407,0.880282,0.949153
0.1668,0.79602,0.863348,0.850746,0.79602,0.79602,0.054726,0.767606,0.864407,0.816901,0.932203
0.1864,0.781095,0.853959,0.835821,0.781095,0.781095,0.054726,0.753521,0.847458,0.802817,0.915254
0.206,0.776119,0.864366,0.810945,0.776119,0.776119,0.034826,0.753521,0.830508,0.774648,0.898305
0.2256,0.766169,0.854118,0.800995,0.766169,0.766169,0.034826,0.753521,0.79661,0.774648,0.864407
0.2452,0.756219,0.853512,0.78607,0.756219,0.756219,0.029851,0.739437,0.79661,0.753521,0.864407
0.2648,0.726368,0.836411,0.756219,0.726368,0.726368,0.029851,0.704225,0.779661,0.71831,0.847458
0.2844,0.721393,0.833988,0.751244,0.721393,0.721393,0.029851,0.697183,0.779661,0.711268,0.847458
0.304,0.721393,0.833988,0.751244,0.721393,0.721393,0.029851,0.697183,0.779661,0.711268,0.847458
0.3236,0.701493,0.819874,0.726368,0.701493,0.701493,0.024876,0.683099,0.745763,0.697183,0.79661
0.3432,0.691542,0.813462,0.711443,0.691542,0.691542,0.0199,0.676056,0.728814,0.690141,0.762712
0.3628,0.676617,0.805867,0.696517,0.676617,0.676617,0.0199,0.65493,0.728814,0.669014,0.762712
0.3824,0.651741,0.792772,0.671642,0.651741,0.651741,0.0199,0.619718,0.728814,0.633803,0.762712
0.402,0.636816,0.788655,0.651741,0.636816,0.636816,0.014925,0.598592,0.728814,0.605634,0.762712
0.4216,0.616915,0.774597,0.631841,0.616915,0.616915,0.014925,0.577465,0.711864,0.584507,0.745763
0.4412,0.61194,0.770385,0.621891,0.61194,0.61194,0.00995,0.577465,0.694915,0.584507,0.711864
0.4608,0.59204,0.752684,0.60199,0.59204,0.59204,0.00995,0.56338,0.661017,0.570423,0.677966
0.4804,0.577114,0.737299,0.587065,0.577114,0.577114,0.00995,0.556338,0.627119,0.56338,0.644068
0.5,0.557214,0.718421,0.567164,0.557214,0.557214,0.00995,0.542254,0.59322,0.549296,0.610169
0.5196,0.537313,0.702716,0.547264,0.537313,0.537313,0.00995,0.521127,0.576271,0.528169,0.59322
0.5392,0.517413,0.68271,0.527363,0.517413,0.517413,0.00995,0.507042,0.542373,0.514085,0.559322
0.5588,0.502488,0.669298,0.512438,0.502488,0.502488,0.00995,0.492958,0.525424,0.5,0.542373
0.5784,0.477612,0.640457,0.487562,0.477612,0.477612,0.00995,0.478873,0.474576,0.485915,0.491525
0.598,0.457711,0.613165,0.467662,0.457711,0.457711,0.00995,0.471831,0.423729,0.478873,0.440678
0.6176,0.442786,0.603296,0.452736,0.442786,0.442786,0.00995,0.450704,0.423729,0.457746,0.440678
0.6372,0.40796,0.570641,0.412935,0.40796,0.40796,0.004975,0.415493,0.389831,0.422535,0.389831
0.6568,0.402985,0.570488,0.402985,0.402985,0.402985,0.0,0.408451,0.389831,0.408451,0.389831
0.6764,0.393035,0.558037,0.393035,0.393035,0.393035,0.0,0.401408,0.372881,0.401408,0.372881
0.696,0.373134,0.532352,0.373134,0.373134,0.373134,0.0,0.387324,0.338983,0.387324,0.338983
0.7156,0.358209,0.509276,0.358209,0.358209,0.358209,0.0,0.380282,0.305085,0.380282,0.305085
0.7352,0.323383,0.463119,0.323383,0.323383,0.323383,0.0,0.352113,0.254237,0.352113,0.254237
0.7548,0.293532,0.432423,0.293532,0.293532,0.293532,0.0,0.316901,0.237288,0.316901,0.237288
0.7744,0.283582,0.417115,0.283582,0.283582,0.283582,0.0,0.309859,0.220339,0.309859,0.220339
0.794,0.268657,0.397275,0.268657,0.268657,0.268657,0.0,0.295775,0.20339,0.295775,0.20339
0.8136,0.238806,0.356039,0.238806,0.238806,0.238806,0.0,0.267606,0.169492,0.267606,0.169492
0.8332,0.208955,0.303801,0.208955,0.208955,0.208955,0.0,0.246479,0.118644,0.246479,0.118644
0.8528,0.199005,0.28549,0.199005,0.199005,0.199005,0.0,0.239437,0.101695,0.239437,0.101695
0.8724,0.154229,0.232887,0.154229,0.154229,0.154229,0.0,0.183099,0.084746,0.183099,0.084746
0.892,0.109453,0.175992,0.109453,0.109453,0.109453,0.0,0.126761,0.067797,0.126761,0.067797
0.9116,0.069652,0.120283,0.069652,0.069652,0.069652,0.0,0.077465,0.050847,0.077465,0.050847
0.9312,0.039801,0.073327,0.039801,0.039801,0.039801,0.0,0.042254,0.033898,0.042254,0.033898
0.9508,0.034826,0.057207,0.034826,0.034826,0.034826,0.0,0.042254,0.016949,0.042254,0.016949
0.9704,0.024876,0.044064,0.024876,0.024876,0.024876,0.0,0.028169,0.016949,0.028169,0.016949
0.99,0.004975,0.016667,0.004975,0.004975,0.004975,0.0,0.0,0.016949,0.0,0.016949
