alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_BLL,coverage_FSRQ,setsize_BLL,setsize_FSRQ
0.01,0.99005,0.770694,1.452736,0.537313,0.99005,0.462687,0.992958,0.983051,1.5,1.338983
0.0296,0.970149,0.833333,1.228856,0.741294,0.970149,0.258706,0.985915,0.932203,1.267606,1.135593
0.0492,0.945274,0.846178,1.154229,0.791045,0.945274,0.208955,0.950704,0.932203,1.183099,1.084746
0.0688,0.920398,0.84938,1.094527,0.825871,0.920398,0.174129,0.929577,0.898305,1.119718,1.033898
0.0884,0.885572,0.856061,1.024876,0.860697,0.885572,0.139303,0.880282,0.898305,1.021127,1.033898
0.1,0.875622,0.85612,1.0,0.875622,0.875622,0.124378,0.880282,0.864407,1.0,1.0
0.108,0.860697,0.863142,0.960199,0.860697,0.860697,0.099502,0.859155,0.864407,0.957746,0.966102
0.1276,0.845771,0.870693,0.925373,0.845771,0.845771,0.079602,0.838028,0.864407,0.908451,0.966102
0.1472,0.825871,0.865834,0.900498,0.825871,0.825871,0.074627,0.809859,0.864407,0.873239,0.966102
0.1668,0.820896,0.872679,0.880597,0.820896,0.820896,0.059701,0.802817,0.864407,0.852113,0.949153
0.1864,0.79602,0.86447,0.845771,0.79602,0.79602,0.049751,0.774648,0.847458,0.816901,0.915254
0.206,0.776119,0.86156,0.810945,0.776119,0.776119,0.034826,0.760563,0.813559,0.78169,0.881356
0.2256,0.766169,0.861002,0.79602,0.766169,0.766169,0.029851,0.746479,0.813559,0.760563,0.881356
0.2452,0.746269,0.845907,0.776119,0.746269,0.746269,0.029851,0.732394,0.779661,0.746479,0.847458
0.2648,0.736318,0.841197,0.766169,0.736318,0.736318,0.029851,0.71831,0.779661,0.732394,0.847458
0.2844,0.721393,0.831032,0.751244,0.721393,0.721393,0.029851,0.704225,0.762712,0.71831,0.830508
0.304,0.711443,0.823129,0.741294,0.711443,0.711443,0.029851,0.697183,0.745763,0.711268,0.813559
0.3236,0.696517,0.812638,0.726368,0.696517,0.696517,0.029851,0.683099,0.728814,0.697183,0.79661
0.3432,0.696517,0.814288,0.721393,0.696517,0.696517,0.024876,0.683099,0.728814,0.697183,0.779661
0.3628,0.671642,0.801835,0.686567,0.671642,0.671642,0.014925,0.65493,0.711864,0.669014,0.728814
0.3824,0.651741,0.791388,0.666667,0.651741,0.651741,0.014925,0.626761,0.711864,0.640845,0.728814
0.402,0.636816,0.783313,0.651741,0.636816,0.636816,0.014925,0.605634,0.711864,0.619718,0.728814
0.4216,0.636816,0.783313,0.651741,0.636816,0.636816,0.014925,0.605634,0.711864,0.619718,0.728814
0.4412,0.631841,0.777507,0.646766,0.631841,0.631841,0.014925,0.605634,0.694915,0.619718,0.711864
0.4608,0.616915,0.770044,0.626866,0.616915,0.616915,0.00995,0.591549,0.677966,0.598592,0.694915
0.4804,0.572139,0.734384,0.58209,0.572139,0.572139,0.00995,0.549296,0.627119,0.556338,0.644068
0.5,0.537313,0.709884,0.547264,0.537313,0.537313,0.00995,0.507042,0.610169,0.514085,0.627119
0.5196,0.527363,0.696586,0.537313,0.527363,0.527363,0.00995,0.507042,0.576271,0.514085,0.59322
0.5392,0.512438,0.679602,0.522388,0.512438,0.512438,0.00995,0.5,0.542373,0.507042,0.559322
0.5588,0.497512,0.661972,0.507463,0.497512,0.497512,0.00995,0.492958,0.508475,0.5,0.525424
0.5784,0.467662,0.633971,0.477612,0.467662,0.467662,0.00995,0.464789,0.474576,0.471831,0.491525
0.598,0.447761,0.61617,0.457711,0.447761,0.447761,0.00995,0.443662,0.457627,0.450704,0.474576
0.6176,0.422886,0.591147,0.427861,0.422886,0.422886,0.004975,0.422535,0.423729,0.429577,0.423729
0.6372,0.39801,0.568543,0.402985,0.39801,0.39801,0.004975,0.394366,0.40678,0.401408,0.40678
0.6568,0.378109,0.552283,0.378109,0.378109,0.378109,0.0,0.373239,0.389831,0.373239,0.389831
0.6764,0.363184,0.540904,0.363184,0.363184,0.363184,0.0,0.352113,0.389831,0.352113,0.389831
0.696,0.363184,0.540904,0.363184,0.363184,0.363184,0.0,0.352113,0.389831,0.352113,0.389831
0.7156,0.338308,0.516286,0.338308,0.338308,0.338308,0.0,0.323944,0.372881,0.323944,0.372881
0.7352,0.308458,0.486544,0.308458,0.308458,0.308458,0.0,0.288732,0.355932,0.288732,0.355932
0.7548,0.278607,0.444877,0.278607,0.278607,0.278607,0.0,0.267606,0.305085,0.267606,0.305085
0.7744,0.228856,0.375689,0.228856,0.228856,0.228856,0.0,0.225352,0.237288,0.225352,0.237288
0.794,0.20398,0.351544,0.20398,0.20398,0.20398,0.0,0.190141,0.237288,0.190141,0.237288
0.8136,0.179104,0.319949,0.179104,0.179104,0.179104,0.0,0.161972,0.220339,0.161972,0.220339
0.8332,0.164179,0.304012,0.164179,0.164179,0.164179,0.0,0.140845,0.220339,0.140845,0.220339
0.8528,0.124378,0.252885,0.124378,0.124378,0.124378,0.0,0.091549,0.20339,0.091549,0.20339
0.8724,0.099502,0.197325,0.099502,0.099502,0.099502,0.0,0.084507,0.135593,0.084507,0.135593
0.892,0.064677,0.131458,0.064677,0.064677,0.064677,0.0,0.056338,0.084746,0.056338,0.084746
0.9116,0.049751,0.104033,0.049751,0.049751,0.049751,0.0,0.042254,0.067797,0.042254,0.067797
0.9312,0.044776,0.097506,0.044776,0.044776,0.044776,0.0,0.035211,0.067797,0.035211,0.067797
0.9508,0.034826,0.075784,0.034826,0.034826,0.034826,0.0,0.028169,0.050847,0.028169,0.050847
0.9704,0.014925,0.03978,0.014925,0.014925,0.014925,0.0,0.007042,0.033898,0.007042,0.033898
0.99,0.004975,0.016667,0.004975,0.004975,0.004975,0.0,0.0,0.016949,0.0,0.016949
