alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_BLL,coverage_FSRQ,setsize_BLL,setsize_FSRQ
0.01,0.985075,0.776827,1.422886,0.562189,0.985075,0.437811,0.985915,0.983051,1.478873,1.288136
0.0296,0.965174,0.841069,1.20398,0.761194,0.965174,0.238806,0.978873,0.932203,1.232394,1.135593
0.0492,0.945274,0.861008,1.124378,0.820896,0.945274,0.179104,0.950704,0.932203,1.147887,1.067797
0.0688,0.915423,0.861715,1.064677,0.850746,0.915423,0.149254,0.922535,0.898305,1.077465,1.033898
0.0884,0.890547,0.867374,1.014925,0.875622,0.890547,0.124378,0.887324,0.898305,1.007042,1.033898
0.1,0.875622,0.85612,1.0,0.875622,0.875622,0.124378,0.880282,0.864407,1.0,1.0
0.108,0.875622,0.862637,0.985075,0.875622,0.875622,0.109453,0.880282,0.864407,0.992958,0.966102
0.1276,0.855721,0.871302,0.940299,0.855721,0.855721,0.084577,0.852113,0.864407,0.929577,0.966102
0.1472,0.845771,0.87594,0.915423,0.845771,0.845771,0.069652,0.838028,0.864407,0.901408,0.949153
0.1668,0.840796,0.882867,0.895522,0.840796,0.840796,0.054726,0.830986,0.864407,0.880282,0.932203
0.1864,0.81592,0.873244,0.865672,0.81592,0.81592,0.049751,0.802817,0.847458,0.84507,0.915254
0.206,0.78607,0.863099,0.820896,0.78607,0.78607,0.034826,0.78169,0.79661,0.802817,0.864407
0.2256,0.771144,0.860382,0.800995,0.771144,0.771144,0.029851,0.760563,0.79661,0.774648,0.864407
0.2452,0.766169,0.85811,0.79602,0.766169,0.766169,0.029851,0.753521,0.79661,0.767606,0.864407
0.2648,0.761194,0.852831,0.791045,0.761194,0.761194,0.029851,0.753521,0.779661,0.767606,0.847458
0.2844,0.751244,0.845163,0.781095,0.751244,0.751244,0.029851,0.746479,0.762712,0.760563,0.830508
0.304,0.741294,0.834096,0.771144,0.741294,0.741294,0.029851,0.746479,0.728814,0.760563,0.79661
0.3236,0.731343,0.829462,0.761194,0.731343,0.731343,0.029851,0.732394,0.728814,0.746479,0.79661
0.3432,0.716418,0.822368,0.746269,0.716418,0.716418,0.029851,0.711268,0.728814,0.725352,0.79661
0.3628,0.711443,0.819966,0.741294,0.711443,0.711443,0.029851,0.704225,0.728814,0.71831,0.79661
0.3824,0.711443,0.821625,0.736318,0.711443,0.711443,0.024876,0.704225,0.728814,0.71831,0.779661
0.402,0.701493,0.816754,0.726368,0.701493,0.701493,0.024876,0.690141,0.728814,0.704225,0.779661
0.4216,0.676617,0.802725,0.696517,0.676617,0.676617,0.0199,0.661972,0.711864,0.676056,0.745763
0.4412,0.651741,0.786576,0.671642,0.651741,0.651741,0.0199,0.633803,0.694915,0.647887,0.728814
0.4608,0.641791,0.781271,0.661692,0.641791,0.641791,0.0199,0.619718,0.694915,0.633803,0.728814
0.4804,0.61194,0.755356,0.626866,0.61194,0.61194,0.014925,0.605634,0.627119,0.612676,0.661017
0.5,0.60199,0.749864,0.616915,0.60199,0.60199,0.014925,0.591549,0.627119,0.598592,0.661017
0.5196,0.60199,0.749864,0.616915,0.60199,0.60199,0.014925,0.591549,0.627119,0.598592,0.661017
0.5392,0.58209,0.736607,0.59204,0.58209,0.58209,0.00995,0.570423,0.610169,0.577465,0.627119
0.5588,0.562189,0.717558,0.572139,0.562189,0.562189,0.00995,0.556338,0.576271,0.56338,0.59322
0.5784,0.547264,0.704839,0.557214,0.547264,0.547264,0.00995,0.542254,0.559322,0.549296,0.576271
0.598,0.522388,0.67737,0.532338,0.522388,0.522388,0.00995,0.528169,0.508475,0.535211,0.525424
0.6176,0.512438,0.671296,0.522388,0.512438,0.512438,0.00995,0.514085,0.508475,0.521127,0.525424
0.6372,0.502488,0.660726,0.512438,0.502488,0.502488,0.00995,0.507042,0.491525,0.514085,0.508475
0.6568,0.482587,0.638983,0.492537,0.482587,0.482587,0.00995,0.492958,0.457627,0.5,0.474576
0.6764,0.462687,0.627653,0.467662,0.462687,0.462687,0.004975,0.464789,0.457627,0.471831,0.457627
