alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_BLL,coverage_FSRQ,setsize_BLL,setsize_FSRQ
0.01,0.995025,0.760275,1.502488,0.492537,0.995025,0.507463,0.992958,1.0,1.556338,1.372881
0.0296,0.955224,0.825629,1.218905,0.736318,0.955224,0.263682,0.964789,0.932203,1.253521,1.135593
0.0492,0.935323,0.827787,1.174129,0.761194,0.935323,0.238806,0.93662,0.932203,1.211268,1.084746
0.0688,0.910448,0.839988,1.099502,0.810945,0.910448,0.189055,0.908451,0.915254,1.119718,1.050847
0.0884,0.875622,0.831844,1.049751,0.825871,0.875622,0.174129,0.866197,0.898305,1.056338,1.033898
0.1,0.855721,0.835807,1.0,0.855721,0.855721,0.144279,0.852113,0.864407,1.0,1.0
0.108,0.855721,0.835807,1.0,0.855721,0.855721,0.144279,0.852113,0.864407,1.0,1.0
0.1276,0.840796,0.843522,0.960199,0.840796,0.840796,0.119403,0.830986,0.864407,0.950704,0.983051
0.1472,0.825871,0.851897,0.920398,0.825871,0.825871,0.094527,0.809859,0.864407,0.901408,0.966102
0.1668,0.81592,0.851781,0.900498,0.81592,0.81592,0.084577,0.802817,0.847458,0.880282,0.949153
0.1864,0.800995,0.866061,0.850746,0.800995,0.800995,0.049751,0.788732,0.830508,0.823944,0.915254
0.206,0.781095,0.857158,0.830846,0.781095,0.781095,0.049751,0.760563,0.830508,0.795775,0.915254
0.2256,0.756219,0.84175,0.800995,0.756219,0.756219,0.044776,0.739437,0.79661,0.774648,0.864407
0.2452,0.741294,0.831836,0.78607,0.741294,0.741294,0.044776,0.725352,0.779661,0.760563,0.847458
0.2648,0.731343,0.827089,0.776119,0.731343,0.731343,0.044776,0.711268,0.779661,0.746479,0.847458
0.2844,0.721393,0.827065,0.756219,0.721393,0.721393,0.034826,0.704225,0.762712,0.725352,0.830508
0.304,0.686567,0.802186,0.716418,0.686567,0.686567,0.029851,0.676056,0.711864,0.697183,0.762712
0.3236,0.686567,0.806107,0.711443,0.686567,0.686567,0.024876,0.676056,0.711864,0.690141,0.762712
0.3432,0.681592,0.805257,0.701493,0.681592,0.681592,0.0199,0.669014,0.711864,0.683099,0.745763
0.3628,0.676617,0.802725,0.696517,0.676617,0.676617,0.0199,0.661972,0.711864,0.676056,0.745763
0.3824,0.661692,0.791791,0.681592,0.661692,0.661692,0.0199,0.647887,0.694915,0.661972,0.728814
0.402,0.661692,0.79743,0.671642,0.661692,0.661692,0.00995,0.647887,0.694915,0.65493,0.711864
0.4216,0.631841,0.778261,0.641791,0.631841,0.631841,0.00995,0.612676,0.677966,0.619718,0.694915
0.4412,0.626866,0.7722,0.636816,0.626866,0.626866,0.00995,0.612676,0.661017,0.619718,0.677966
0.4608,0.60199,0.751487,0.61194,0.60199,0.60199,0.00995,0.591549,0.627119,0.598592,0.644068
0.4804,0.58209,0.732865,0.59204,0.58209,0.58209,0.00995,0.577465,0.59322,0.584507,0.610169
0.5,0.557214,0.70657,0.567164,0.557214,0.557214,0.00995,0.56338,0.542373,0.570423,0.559322
0.5196,0.552239,0.699404,0.562189,0.552239,0.552239,0.00995,0.56338,0.525424,0.570423,0.542373
0.5392,0.517413,0.655267,0.527363,0.517413,0.517413,0.00995,0.549296,0.440678,0.556338,0.457627
0.5588,0.507463,0.649358,0.517413,0.507463,0.507463,0.00995,0.535211,0.440678,0.542254,0.457627
0.5784,0.472637,0.627797,0.482587,0.472637,0.472637,0.00995,0.485915,0.440678,0.492958,0.457627
0.598,0.467662,0.6246,0.477612,0.467662,0.467662,0.00995,0.478873,0.440678,0.485915,0.457627
0.6176,0.447761,0.606618,0.457711,0.447761,0.447761,0.00995,0.457746,0.423729,0.464789,0.440678
0.6372,0.432836,0.593031,0.437811,0.432836,0.432836,0.004975,0.443662,0.40678,0.450704,0.40678
0.6568,0.40796,0.559752,0.412935,0.40796,0.40796,0.004975,0.429577,0.355932,0.43662,0.355932
0.6764,0.393035,0.531262,0.39801,0.393035,0.393035,0.004975,0.429577,0.305085,0.43662,0.305085
0.696,0.378109,0.520769,0.383085,0.378109,0.378109,0.004975,0.408451,0.305085,0.415493,0.305085
0.7156,0.363184,0.503608,0.368159,0.363184,0.363184,0.004975,0.394366,0.288136,0.401408,0.288136
0.7352,0.343284,0.485128,0.343284,0.343284,0.343284,0.0,0.373239,0.271186,0.373239,0.271186
0.7548,0.318408,0.465965,0.318408,0.318408,0.318408,0.0,0.338028,0.271186,0.338028,0.271186
0.7744,0.298507,0.436462,0.298507,0.298507,0.298507,0.0,0.323944,0.237288,0.323944,0.237288
