epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.6538118124008179,0.647172212600708,0.6578332034294622,0.68,0.5182142857142857,0.574959172563963
2,0.6506043076515198,0.6439715623855591,0.6586126266562744,0.69,0.5372619047619047,0.5882416984213391
3,0.6508908867835999,0.6407982110977173,0.6554949337490257,0.7,0.5540476190476191,0.6015242242787153
4,0.6472546458244324,0.6376577615737915,0.6718628215120811,0.7,0.573452380952381,0.6015242242787153
5,0.6440409421920776,0.6345300078392029,0.6773187840997662,0.705,0.591547619047619,0.6044087256027554
6,0.6428484916687012,0.6314245462417603,0.676539360872954,0.715,0.6073809523809525,0.6249562995831652
7,0.6352260112762451,0.6283264756202698,0.691348402182385,0.72,0.6245238095238095,0.6280892759934676
8,0.6332334280014038,0.6252542734146118,0.6905689789555729,0.73,0.6414285714285715,0.6479092841956059
9,0.6310085654258728,0.6222061514854431,0.6819953234606392,0.735,0.6571428571428571,0.6574806252462893
10,0.6271690726280212,0.6191896796226501,0.6905689789555729,0.735,0.6704761904761904,0.6574806252462893
11,0.6259164214134216,0.6162019371986389,0.7100545596258768,0.735,0.6834523809523809,0.6574806252462893
12,0.6216422319412231,0.613246738910675,0.7069368667186282,0.74,0.6976190476190477,0.6668398268398268
13,0.616924524307251,0.6103143095970154,0.7162899454403742,0.745,0.7108333333333333,0.6759964039556488
14,0.6179198622703552,0.6074090600013733,0.7225253312548714,0.755,0.7221428571428572,0.6937371706254452
15,0.6131772994995117,0.6045293211936951,0.7155105222135619,0.755,0.7327380952380952,0.6937371706254452
16,0.6081873774528503,0.6016786694526672,0.7310989867498051,0.755,0.7457142857142858,0.6937371706254452
17,0.605259120464325,0.5988513231277466,0.7310989867498051,0.765,0.7548809523809523,0.7107692307692308
18,0.6023030281066895,0.5960537791252136,0.7365549493374902,0.77,0.7639285714285713,0.7190383365821963
19,0.6060442328453064,0.593289852142334,0.7279812938425565,0.77,0.7722619047619048,0.7190383365821963
20,0.5962262153625488,0.5905476808547974,0.7591582229150429,0.77,0.7811904761904762,0.7190383365821963
21,0.5970851182937622,0.5878291130065918,0.7435697583787997,0.775,0.7883333333333333,0.7271521048610832
22,0.5957595705986023,0.5851401090621948,0.7544816835541699,0.785,0.797142857142857,0.7429393903545092
