alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_BLL,coverage_FSRQ,setsize_BLL,setsize_FSRQ
0.01,0.995025,0.777979,1.442786,0.552239,0.995025,0.447761,1.0,0.983051,1.464789,1.389831
0.0296,0.965174,0.829241,1.228856,0.736318,0.965174,0.263682,0.978873,0.932203,1.267606,1.135593
0.0492,0.940299,0.851141,1.134328,0.80597,0.940299,0.19403,0.943662,0.932203,1.161972,1.067797
0.0688,0.920398,0.846474,1.104478,0.81592,0.920398,0.18408,0.922535,0.915254,1.126761,1.050847
0.0884,0.890547,0.855018,1.034826,0.855721,0.890547,0.144279,0.887324,0.898305,1.035211,1.033898
0.1,0.870647,0.850992,1.0,0.870647,0.870647,0.129353,0.873239,0.864407,1.0,1.0
0.108,0.870647,0.855787,0.99005,0.870647,0.870647,0.119403,0.873239,0.864407,0.992958,0.983051
0.1276,0.835821,0.862997,0.920398,0.835821,0.835821,0.084577,0.823944,0.864407,0.901408,0.966102
0.1472,0.820896,0.867318,0.890547,0.820896,0.820896,0.069652,0.802817,0.864407,0.859155,0.966102
0.1668,0.810945,0.882722,0.845771,0.810945,0.810945,0.034826,0.795775,0.847458,0.816901,0.915254
0.1864,0.810945,0.882722,0.845771,0.810945,0.810945,0.034826,0.795775,0.847458,0.816901,0.915254
0.206,0.79602,0.873348,0.830846,0.79602,0.79602,0.034826,0.78169,0.830508,0.802817,0.898305
0.2256,0.761194,0.85582,0.791045,0.761194,0.761194,0.029851,0.746479,0.79661,0.760563,0.864407
0.2452,0.756219,0.853512,0.78607,0.756219,0.756219,0.029851,0.739437,0.79661,0.753521,0.864407
0.2648,0.741294,0.843561,0.771144,0.741294,0.741294,0.029851,0.725352,0.779661,0.739437,0.847458
0.2844,0.731343,0.835819,0.761194,0.731343,0.731343,0.029851,0.71831,0.762712,0.732394,0.830508
0.304,0.716418,0.822368,0.746269,0.716418,0.716418,0.029851,0.711268,0.728814,0.725352,0.79661
0.3236,0.696517,0.811059,0.721393,0.696517,0.696517,0.024876,0.690141,0.711864,0.704225,0.762712
0.3432,0.681592,0.804281,0.701493,0.681592,0.681592,0.0199,0.676056,0.694915,0.683099,0.745763
0.3628,0.681592,0.805941,0.696517,0.681592,0.681592,0.014925,0.676056,0.694915,0.683099,0.728814
0.3824,0.681592,0.807614,0.691542,0.681592,0.681592,0.00995,0.676056,0.694915,0.683099,0.711864
0.402,0.666667,0.800008,0.676617,0.666667,0.666667,0.00995,0.65493,0.694915,0.661972,0.711864
0.4216,0.656716,0.788007,0.666667,0.656716,0.656716,0.00995,0.65493,0.661017,0.661972,0.677966
0.4412,0.631841,0.774892,0.641791,0.631841,0.631841,0.00995,0.619718,0.661017,0.626761,0.677966
0.4608,0.587065,0.735678,0.597015,0.587065,0.587065,0.00995,0.584507,0.59322,0.591549,0.610169
0.4804,0.577114,0.733948,0.58209,0.577114,0.577114,0.004975,0.570423,0.59322,0.570423,0.610169
