epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.7194259166717529,0.7235851287841797,0.4029618082618862,0.4,0.47119047619047616,0.3696969696969697
2,0.7143133878707886,0.7186170816421509,0.4286827747466875,0.435,0.5061904761904762,0.4010894074130374
3,0.70924311876297,0.7136878967285156,0.4442712392829306,0.455,0.54,0.4257792158547991
4,0.704215943813324,0.7087954878807068,0.4715510522213562,0.48,0.5708333333333333,0.45990338164251204
5,0.6992319226264954,0.7039377093315125,0.4848012470771629,0.495,0.6019047619047619,0.4769076052796983
6,0.6942920088768005,0.6991150379180908,0.5011691348402182,0.505,0.6330952380952382,0.4899751449875724
7,0.6893962621688843,0.6943295001983643,0.5167575993764614,0.505,0.6646428571428572,0.4899751449875724
8,0.6845452189445496,0.6895831227302551,0.5339049103663289,0.53,0.6901190476190476,0.5217147435897436
9,0.6797393560409546,0.6848776936531067,0.5448168355416991,0.535,0.7171428571428571,0.5300562851782364
10,0.6749792098999023,0.680214524269104,0.5619641465315667,0.56,0.7434523809523809,0.5581958195819583
11,0.6702650785446167,0.6755945682525635,0.578332034294622,0.57,0.7653571428571428,0.57
12,0.6655974984169006,0.6710183620452881,0.5946999220576773,0.58,0.7895238095238095,0.5816381638163817
13,0.6609768271446228,0.6664865016937256,0.6110678098207326,0.59,0.8095238095238095,0.5931172468987594
14,0.6564033031463623,0.661999523639679,0.622759158222915,0.59,0.8271428571428571,0.5931172468987594
15,0.6518775224685669,0.6575576066970825,0.6344505066250974,0.625,0.8435714285714285,0.6321372150756037
16,0.647399365901947,0.6531611084938049,0.6500389711613406,0.64,0.8544047619047619,0.6483569490503467
17,0.6429694294929504,0.6488102674484253,0.65705378020265,0.66,0.8672619047619047,0.6695634640588769
18,0.6385875344276428,0.6445050835609436,0.6742010911925176,0.66,0.8780952380952382,0.6695634640588769
19,0.634253978729248,0.640245795249939,0.6827747466874513,0.675,0.8863095238095238,0.68517909957279
20,0.6299689412117004,0.6360325217247009,0.6905689789555729,0.68,0.8945238095238095,0.6903330296588723
21,0.6257321238517761,0.6318652033805847,0.7053780202650038,0.695,0.9005952380952381,0.7056507936507938
22,0.6215440034866333,0.6277438402175903,0.7162899454403742,0.7,0.9051190476190477,0.7111383108935128
23,0.6174042224884033,0.6236684918403625,0.7342166796570537,0.72,0.9092857142857143,0.7310344827586206
24,0.6133129596710205,0.6196390390396118,0.7482462977396727,0.73,0.9140476190476191,0.7408711770157553
25,0.6092698574066162,0.6156554222106934,0.759937646141855,0.73,0.9169047619047619,0.7408711770157553
26,0.60527503490448,0.6117175817489624,0.7708495713172252,0.74,0.9195238095238095,0.7506407606448946
27,0.6013281345367432,0.607825517654419,0.7856586126266563,0.755,0.9217857142857143,0.7651810078224486
28,0.5974290370941162,0.6039789319038391,0.8020265003897116,0.77,0.9242857142857143,0.7796003766084318
29,0.5935776829719543,0.6001778244972229,0.809041309431021,0.775,0.9263095238095238,0.7843831092238734
30,0.5897737145423889,0.5964219570159912,0.8168355416991426,0.79,0.9279761904761904,0.798669623059867
31,0.5860167741775513,0.5927112102508545,0.8199532346063912,0.805,0.9296428571428572,0.8128780020745233
32,0.5823066234588623,0.5890453457832336,0.8246297739672642,0.81,0.9307142857142857,0.8176000000000001
33,0.5786430835723877,0.5854243040084839,0.8332034294621979,0.81,0.931904761904762,0.8176000000000001
34,0.575025737285614,0.5818476676940918,0.8394388152766953,0.81,0.9329761904761905,0.8176000000000001
35,0.5714541673660278,0.5783153772354126,0.8456742010911925,0.82,0.9335714285714286,0.8270270270270271
36,0.5679281949996948,0.5748271346092224,0.8503507404520655,0.82,0.9345238095238095,0.8270270270270271
37,0.564447283744812,0.5713826417922974,0.8519095869056897,0.825,0.9354761904761905,0.8317334839073969
38,0.5610111355781555,0.5679815411567688,0.852689010132502,0.84,0.9357142857142857,0.8458333333333333
39,0.5576192736625671,0.5646236538887024,0.8534684333593141,0.845,0.9360714285714286,0.8505292372996653
40,0.5542713403701782,0.5613086819648743,0.8565861262665627,0.845,0.936547619047619,0.8505292372996653
41,0.5509669184684753,0.5580363273620605,0.8604832424006236,0.845,0.9373809523809524,0.8505292372996653
42,0.5477055907249451,0.5548059940338135,0.8651597817614964,0.85,0.9375,0.8552243694726499
43,0.5444867610931396,0.5516175627708435,0.8674980514419329,0.855,0.9385714285714286,0.8599194939620471
44,0.5413101315498352,0.5484704971313477,0.8690568978955573,0.86,0.9392857142857143,0.8646153846153847
45,0.5381752252578735,0.545364499092102,0.872954014029618,0.865,0.9398809523809524,0.8693128256015876
46,0.5350814461708069,0.5422991514205933,0.8745128604832424,0.865,0.9407142857142856,0.8693128256015876
47,0.5320284366607666,0.5392739772796631,0.8760717069368668,0.87,0.9410714285714286,0.8740126120146033
48,0.5290157198905945,0.5362886190414429,0.877630553390491,0.875,0.9416666666666667,0.8787155504981822
49,0.5260427594184875,0.5333425998687744,0.8799688230709275,0.87,0.9417857142857142,0.8737076648841355
50,0.5231090784072876,0.5304354429244995,0.8830865159781761,0.88,0.9424999999999999,0.8834224598930481
51,0.5202141404151917,0.5275667309761047,0.8846453624318005,0.88,0.9424999999999999,0.8834224598930481
52,0.5173575282096863,0.5247360467910767,0.8846453624318005,0.88,0.9423809523809523,0.8834224598930481
53,0.5145387053489685,0.5219428539276123,0.8854247856586126,0.88,0.9426190476190476,0.8834224598930481
54,0.5117571353912354,0.5191866755485535,0.8846453624318005,0.88,0.9429761904761905,0.8834224598930481
55,0.5090123414993286,0.5164670348167419,0.8846453624318005,0.88,0.9430952380952381,0.8834224598930481
56,0.5063039064407349,0.5137835144996643,0.8854247856586126,0.88,0.9433333333333334,0.8834224598930481
57,0.5036312937736511,0.5111355781555176,0.886983632112237,0.885,0.9435714285714285,0.8881341719077568
58,0.5009939074516296,0.5085226893424988,0.8877630553390491,0.885,0.944047619047619,0.8881341719077568
59,0.49839138984680176,0.5059444308280945,0.8885424785658612,0.885,0.9445238095238095,0.8881341719077568
60,0.4958232045173645,0.5034003853797913,0.8908807482462977,0.885,0.9445238095238095,0.8881341719077568
61,0.4932887852191925,0.5008899569511414,0.8916601714731099,0.89,0.9446428571428571,0.8928515318146111
62,0.4907877445220947,0.4984126687049866,0.8916601714731099,0.885,0.945,0.887820675283715
63,0.48831960558891296,0.4959680438041687,0.8885424785658612,0.885,0.9448809523809524,0.887820675283715
64,0.4858838617801666,0.4935556650161743,0.8885424785658612,0.885,0.9453571428571428,0.887820675283715
65,0.48347997665405273,0.49117493629455566,0.8893219017926735,0.885,0.9453571428571428,0.887820675283715
66,0.48110756278038025,0.4888255000114441,0.8885424785658612,0.885,0.9454761904761905,0.887820675283715
67,0.4787660539150238,0.4865068793296814,0.8885424785658612,0.89,0.9458333333333333,0.8925373134328357
68,0.47645509243011475,0.48421844840049744,0.8901013250194856,0.88,0.9458333333333333,0.8823931623931623
69,0.4741741716861725,0.48195990920066833,0.8908807482462977,0.875,0.9458333333333333,0.8772848193598216
70,0.47192293405532837,0.4797307550907135,0.8908807482462977,0.875,0.9463095238095238,0.8772848193598216
71,0.46970078349113464,0.47753047943115234,0.8901013250194856,0.875,0.9464285714285714,0.8772848193598216
72,0.4675072729587555,0.47535866498947144,0.8908807482462977,0.875,0.9463095238095238,0.8772848193598216
73,0.46534210443496704,0.4732149541378021,0.8924395946999221,0.875,0.946547619047619,0.8772848193598216
74,0.46320483088493347,0.47109875082969666,0.8924395946999221,0.875,0.9464285714285714,0.8772848193598216
