alpha,coverage,macro_f1,avg_set_size,singleton_rate,tpr,fpr,coverage_BLL,coverage_FSRQ,setsize_BLL,setsize_FSRQ
0.01,0.995025,0.722783,1.636816,0.358209,0.995025,0.641791,0.992958,1.0,1.704225,1.474576
0.0296,0.955224,0.812225,1.243781,0.711443,0.955224,0.288557,0.971831,0.915254,1.295775,1.118644
0.0492,0.935323,0.825439,1.174129,0.761194,0.935323,0.238806,0.943662,0.915254,1.21831,1.067797
0.0688,0.910448,0.839988,1.099502,0.810945,0.910448,0.189055,0.908451,0.915254,1.119718,1.050847
0.0884,0.875622,0.829121,1.054726,0.820896,0.875622,0.179104,0.866197,0.898305,1.06338,1.033898
0.1,0.860697,0.837842,1.004975,0.855721,0.860697,0.144279,0.859155,0.864407,1.007042,1.0
0.108,0.855721,0.841843,0.99005,0.855721,0.855721,0.134328,0.852113,0.864407,0.985915,1.0
0.1276,0.850746,0.857387,0.955224,0.850746,0.850746,0.104478,0.84507,0.864407,0.943662,0.983051
0.1472,0.81592,0.858843,0.890547,0.81592,0.81592,0.074627,0.802817,0.847458,0.866197,0.949153
0.1668,0.810945,0.860301,0.880597,0.810945,0.810945,0.069652,0.795775,0.847458,0.852113,0.949153
0.1864,0.800995,0.858519,0.860697,0.800995,0.800995,0.059701,0.788732,0.830508,0.838028,0.915254
0.206,0.776119,0.852101,0.825871,0.776119,0.776119,0.049751,0.760563,0.813559,0.795775,0.898305
0.2256,0.756219,0.842914,0.80597,0.756219,0.756219,0.049751,0.732394,0.813559,0.767606,0.898305
0.2452,0.736318,0.838451,0.776119,0.736318,0.736318,0.039801,0.711268,0.79661,0.732394,0.881356
0.2648,0.716418,0.826967,0.751244,0.716418,0.716418,0.034826,0.697183,0.762712,0.711268,0.847458
0.2844,0.701493,0.81959,0.736318,0.701493,0.701493,0.034826,0.676056,0.762712,0.690141,0.847458
0.304,0.691542,0.808523,0.726368,0.691542,0.691542,0.034826,0.676056,0.728814,0.690141,0.813559
0.3236,0.681592,0.802635,0.706468,0.681592,0.681592,0.024876,0.676056,0.694915,0.683099,0.762712
0.3432,0.651741,0.785593,0.671642,0.651741,0.651741,0.0199,0.640845,0.677966,0.647887,0.728814
0.3628,0.651741,0.787234,0.666667,0.651741,0.651741,0.014925,0.640845,0.677966,0.647887,0.711864
0.3824,0.646766,0.784615,0.661692,0.646766,0.646766,0.014925,0.633803,0.677966,0.640845,0.711864
0.402,0.621891,0.764378,0.636816,0.621891,0.621891,0.014925,0.612676,0.644068,0.619718,0.677966
0.4216,0.606965,0.750546,0.616915,0.606965,0.606965,0.00995,0.605634,0.610169,0.612676,0.627119
0.4412,0.58209,0.728959,0.59204,0.58209,0.58209,0.00995,0.584507,0.576271,0.591549,0.59322
0.4608,0.572139,0.723309,0.58209,0.572139,0.572139,0.00995,0.570423,0.576271,0.577465,0.59322
0.4804,0.547264,0.696515,0.557214,0.547264,0.547264,0.00995,0.556338,0.525424,0.56338,0.542373
0.5,0.537313,0.681699,0.547264,0.537313,0.537313,0.00995,0.556338,0.491525,0.56338,0.508475
0.5196,0.497512,0.653066,0.507463,0.497512,0.497512,0.00995,0.507042,0.474576,0.514085,0.491525
0.5392,0.462687,0.6229,0.467662,0.462687,0.462687,0.004975,0.471831,0.440678,0.478873,0.440678
0.5588,0.447761,0.601062,0.447761,0.447761,0.447761,0.0,0.471831,0.389831,0.471831,0.389831
0.5784,0.422886,0.560897,0.422886,0.422886,0.422886,0.0,0.464789,0.322034,0.464789,0.322034
0.598,0.412935,0.554269,0.412935,0.412935,0.412935,0.0,0.450704,0.322034,0.450704,0.322034
0.6176,0.402985,0.547511,0.402985,0.402985,0.402985,0.0,0.43662,0.322034,0.43662,0.322034
0.6372,0.383085,0.53359,0.383085,0.383085,0.383085,0.0,0.408451,0.322034,0.408451,0.322034
0.6568,0.353234,0.505561,0.353234,0.353234,0.353234,0.0,0.373239,0.305085,0.373239,0.305085
0.6764,0.333333,0.490311,0.333333,0.333333,0.333333,0.0,0.34507,0.305085,0.34507,0.305085
0.696,0.303483,0.447384,0.303483,0.303483,0.303483,0.0,0.323944,0.254237,0.323944,0.254237
0.7156,0.268657,0.411561,0.268657,0.268657,0.268657,0.0,0.28169,0.237288,0.28169,0.237288
0.7352,0.248756,0.380125,0.248756,0.248756,0.248756,0.0,0.267606,0.20339,0.267606,0.20339
0.7548,0.233831,0.366754,0.233831,0.233831,0.233831,0.0,0.246479,0.20339,0.246479,0.20339
0.7744,0.199005,0.311544,0.199005,0.199005,0.199005,0.0,0.21831,0.152542,0.21831,0.152542
0.794,0.164179,0.269104,0.164179,0.164179,0.164179,0.0,0.176056,0.135593,0.176056,0.135593
0.8136,0.149254,0.245455,0.149254,0.149254,0.149254,0.0,0.161972,0.118644,0.161972,0.118644
0.8332,0.129353,0.215764,0.129353,0.129353,0.129353,0.0,0.140845,0.101695,0.140845,0.101695
0.8528,0.124378,0.21032,0.124378,0.124378,0.124378,0.0,0.133803,0.101695,0.133803,0.101695
0.8724,0.114428,0.199226,0.114428,0.114428,0.114428,0.0,0.119718,0.101695,0.119718,0.101695
0.892,0.084577,0.147363,0.084577,0.084577,0.084577,0.0,0.091549,0.067797,0.091549,0.067797
0.9116,0.084577,0.147363,0.084577,0.084577,0.084577,0.0,0.091549,0.067797,0.091549,0.067797
0.9312,0.069652,0.129282,0.069652,0.069652,0.069652,0.0,0.070423,0.067797,0.070423,0.067797
0.9508,0.049751,0.095367,0.049751,0.049751,0.049751,0.0,0.049296,0.050847,0.049296,0.050847
0.9704,0.0199,0.037356,0.0199,0.0199,0.0199,0.0,0.021127,0.016949,0.021127,0.016949
0.99,0.004975,0.006993,0.004975,0.004975,0.004975,0.0,0.007042,0.0,0.007042,0.0
